file;metric;value
src/test/java/org/elasticsearch/gradle/docker/DockerSupportServiceTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchCluster.java;cyclocomplex;118
src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchCluster.java;cognicomplex;50
src/main/java/org/elasticsearch/gradle/ElasticsearchDistribution.java;cyclocomplex;66
src/main/java/org/elasticsearch/gradle/ElasticsearchDistribution.java;cognicomplex;38
src/main/java/org/elasticsearch/gradle/ElasticsearchJavaPlugin.java;cyclocomplex;35
src/main/java/org/elasticsearch/gradle/ElasticsearchJavaPlugin.java;cognicomplex;11
src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchNode.java;cyclocomplex;266
src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchNode.java;cognicomplex;189
src/main/java/org/elasticsearch/gradle/ElasticsearchTestBasePlugin.java;cyclocomplex;15
src/main/java/org/elasticsearch/gradle/ElasticsearchTestBasePlugin.java;cognicomplex;15
src/main/java/org/elasticsearch/gradle/EmptyDirTask.java;cyclocomplex;8
src/main/java/org/elasticsearch/gradle/EmptyDirTask.java;cognicomplex;0
src/test/java/org/elasticsearch/gradle/EmptyDirTaskTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/EmptyDirTaskTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/test/ErrorReportingTestListener.java;cyclocomplex;45
src/main/java/org/elasticsearch/gradle/test/ErrorReportingTestListener.java;cognicomplex;48
src/main/java/org/elasticsearch/gradle/ExportElasticsearchBuildResourcesTask.java;cyclocomplex;12
src/main/java/org/elasticsearch/gradle/ExportElasticsearchBuildResourcesTask.java;cognicomplex;7
src/main/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsPrecommitPlugin.java;cyclocomplex;5
src/main/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsPrecommitPlugin.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsTask.java;cyclocomplex;11
src/main/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsTask.java;cognicomplex;4
src/test/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsTaskTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsTaskTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/FileSupplier.java;cyclocomplex;0
src/main/java/org/elasticsearch/gradle/FileSupplier.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/FileSystemOperationsAware.java;cyclocomplex;0
src/main/java/org/elasticsearch/gradle/FileSystemOperationsAware.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/util/FileUtils.java;cyclocomplex;12
src/main/java/org/elasticsearch/gradle/util/FileUtils.java;cognicomplex;14
src/main/java/org/elasticsearch/gradle/test/Fixture.java;cyclocomplex;0
src/main/java/org/elasticsearch/gradle/test/Fixture.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenApisPrecommitPlugin.java;cyclocomplex;11
src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenApisPrecommitPlugin.java;cognicomplex;14
src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsPrecommitPlugin.java;cyclocomplex;5
src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsPrecommitPlugin.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsTask.java;cyclocomplex;20
src/main/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsTask.java;cognicomplex;7
src/test/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsTaskTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/internal/precommit/ForbiddenPatternsTaskTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/info/GlobalBuildInfoPlugin.java;cyclocomplex;64
src/main/java/org/elasticsearch/gradle/info/GlobalBuildInfoPlugin.java;cognicomplex;80
src/main/java/org/elasticsearch/gradle/test/GradleDistroTestTask.java;cyclocomplex;12
src/main/java/org/elasticsearch/gradle/test/GradleDistroTestTask.java;cognicomplex;3
src/main/java/org/elasticsearch/gradle/util/GradleUtils.java;cyclocomplex;26
src/main/java/org/elasticsearch/gradle/util/GradleUtils.java;cognicomplex;12
src/main/java/org/elasticsearch/gradle/internal/InternalBwcGitPlugin.java;cyclocomplex;30
src/main/java/org/elasticsearch/gradle/internal/InternalBwcGitPlugin.java;cognicomplex;10
src/main/java/org/elasticsearch/gradle/test/InternalClusterTestPlugin.java;cyclocomplex;2
src/main/java/org/elasticsearch/gradle/test/InternalClusterTestPlugin.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/InternalDistributionArchiveCheckPlugin.java;cyclocomplex;45
src/main/java/org/elasticsearch/gradle/internal/InternalDistributionArchiveCheckPlugin.java;cognicomplex;35
src/main/java/org/elasticsearch/gradle/internal/InternalDistributionArchiveSetupPlugin.java;cyclocomplex;19
src/main/java/org/elasticsearch/gradle/internal/InternalDistributionArchiveSetupPlugin.java;cognicomplex;4
src/main/java/org/elasticsearch/gradle/internal/InternalDistributionBwcSetupPlugin.java;cyclocomplex;50
src/main/java/org/elasticsearch/gradle/internal/InternalDistributionBwcSetupPlugin.java;cognicomplex;38
src/main/java/org/elasticsearch/gradle/internal/InternalDistributionDownloadPlugin.java;cyclocomplex;34
src/main/java/org/elasticsearch/gradle/internal/InternalDistributionDownloadPlugin.java;cognicomplex;26
src/main/java/org/elasticsearch/gradle/internal/InternalPlugin.java;cyclocomplex;1
src/main/java/org/elasticsearch/gradle/internal/InternalPlugin.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/precommit/JarHellPrecommitPlugin.java;cyclocomplex;4
src/main/java/org/elasticsearch/gradle/precommit/JarHellPrecommitPlugin.java;cognicomplex;2
src/main/java/org/elasticsearch/gradle/precommit/JarHellTask.java;cyclocomplex;5
src/main/java/org/elasticsearch/gradle/precommit/JarHellTask.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/info/JavaHome.java;cyclocomplex;4
src/main/java/org/elasticsearch/gradle/info/JavaHome.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/test/rest/JavaRestTestPlugin.java;cyclocomplex;2
src/main/java/org/elasticsearch/gradle/test/rest/JavaRestTestPlugin.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/util/JavaUtil.java;cyclocomplex;3
src/main/java/org/elasticsearch/gradle/util/JavaUtil.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/Jdk.java;cyclocomplex;40
src/main/java/org/elasticsearch/gradle/Jdk.java;cognicomplex;15
src/main/java/org/elasticsearch/gradle/JdkDownloadPlugin.java;cyclocomplex;23
src/main/java/org/elasticsearch/gradle/JdkDownloadPlugin.java;cognicomplex;15
src/test/java/org/elasticsearch/gradle/JdkDownloadPluginTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/JdkDownloadPluginTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/LazyFileOutputStream.java;cyclocomplex;7
src/main/java/org/elasticsearch/gradle/LazyFileOutputStream.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/LazyPropertyList.java;cyclocomplex;43
src/main/java/org/elasticsearch/gradle/LazyPropertyList.java;cognicomplex;7
src/main/java/org/elasticsearch/gradle/LazyPropertyMap.java;cyclocomplex;35
src/main/java/org/elasticsearch/gradle/LazyPropertyMap.java;cognicomplex;6
src/main/java/org/elasticsearch/gradle/precommit/LicenseAnalyzer.java;cyclocomplex;10
src/main/java/org/elasticsearch/gradle/precommit/LicenseAnalyzer.java;cognicomplex;4
src/main/java/org/elasticsearch/gradle/LoggedExec.java;cyclocomplex;18
src/main/java/org/elasticsearch/gradle/LoggedExec.java;cognicomplex;27
src/main/java/org/elasticsearch/gradle/internal/precommit/LoggerUsagePrecommitPlugin.java;cyclocomplex;2
src/main/java/org/elasticsearch/gradle/internal/precommit/LoggerUsagePrecommitPlugin.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/precommit/LoggerUsageTask.java;cyclocomplex;9
src/main/java/org/elasticsearch/gradle/internal/precommit/LoggerUsageTask.java;cognicomplex;1
src/main/java/org/elasticsearch/gradle/LoggingOutputStream.java;cyclocomplex;7
src/main/java/org/elasticsearch/gradle/LoggingOutputStream.java;cognicomplex;7
src/main/java/org/elasticsearch/gradle/OS.java;cyclocomplex;13
src/main/java/org/elasticsearch/gradle/OS.java;cognicomplex;5
src/main/java/org/elasticsearch/gradle/util/PermissionUtils.java;cyclocomplex;10
src/main/java/org/elasticsearch/gradle/util/PermissionUtils.java;cognicomplex;10
src/test/java/org/elasticsearch/gradle/plugin/PluginBuildPluginTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/plugin/PluginBuildPluginTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/plugin/PluginPropertiesExtension.java;cyclocomplex;28
src/main/java/org/elasticsearch/gradle/plugin/PluginPropertiesExtension.java;cognicomplex;2
src/test/java/org/elasticsearch/gradle/plugin/PluginPropertiesExtensionTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/plugin/PluginPropertiesExtensionTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/plugin/PluginType.java;cyclocomplex;1
src/main/java/org/elasticsearch/gradle/plugin/PluginType.java;cognicomplex;0
